date,gold_rate_usd,gold_rate,exchange_rate,inflation_rate,policy_repo_rate,closing_price
2019-06-07 00:00:00,1341.20,93025.63,69.36,3.18,5.75,11870.65
2019-06-08 00:00:00,1341.20,93025.63,69.36,3.18,5.75,11870.65
2019-06-09 00:00:00,1341.20,93025.63,69.36,3.18,5.75,11870.65
2019-06-10 00:00:00,1324.70,91861.32,69.35,3.18,5.75,11922.70
2019-06-11 00:00:00,1326.40,92215.97,69.52,3.18,5.75,11965.60
2019-06-12 00:00:00,1331.90,92415.88,69.39,3.18,5.75,11906.20
2019-06-13 00:00:00,1339.20,93342.23,69.70,3.18,5.75,11914.05
2019-06-14 00:00:00,1340.10,93538.98,69.80,3.18,5.75,11823.30
2019-06-15 00:00:00,1340.10,93538.98,69.80,3.18,5.75,11823.30
2019-06-16 00:00:00,1340.10,93538.98,69.80,3.18,5.75,11823.30
2019-06-17 00:00:00,1338.70,93401.77,69.77,3.18,5.75,11672.15
2019-06-18 00:00:00,1346.60,94413.49,70.11,3.18,5.75,11691.50
2019-06-19 00:00:00,1344.60,93806.02,69.76,3.18,5.75,11691.45
2019-06-20 00:00:00,1392.90,97321.93,69.87,3.18,5.75,11831.75
2019-06-21 00:00:00,1396.20,97426.83,69.78,3.18,5.75,11724.10
2019-06-22 00:00:00,1396.20,97426.83,69.78,3.18,5.75,11724.10
2019-06-23 00:00:00,1396.20,97426.83,69.78,3.18,5.75,11724.10
2019-06-24 00:00:00,1414.30,98392.71,69.57,3.18,5.75,11699.65
2019-06-25 00:00:00,1414.90,98480.58,69.60,3.18,5.75,11796.45
2019-06-26 00:00:00,1411.60,98300.29,69.64,3.15,5.75,11847.55
2019-06-27 00:00:00,1408.40,98028.16,69.60,3.15,5.75,11841.55
2019-06-28 00:00:00,1409.70,97727.44,69.32,3.15,5.75,11788.85
2019-06-29 00:00:00,1409.70,97727.44,69.32,3.15,5.75,11788.85
2019-06-30 00:00:00,1409.70,97727.44,69.32,3.15,5.75,11788.85
2019-07-01 00:00:00,1385.60,95523.95,68.94,3.15,5.75,11865.60
2019-07-02 00:00:00,1404.60,97152.67,69.17,3.15,5.75,11910.30
2019-07-03 00:00:00,1417.70,97938.25,69.08,3.15,5.75,11916.75
2019-07-04 00:00:00,1417.70,97831.93,69.01,3.15,5.75,11946.75
2019-07-05 00:00:00,1396.70,96009.15,68.74,3.15,5.75,11811.15
2019-07-06 00:00:00,1396.70,96009.15,68.74,3.15,5.75,11811.15
2019-07-07 00:00:00,1396.70,96009.15,68.74,3.15,5.75,11811.15
2019-07-08 00:00:00,1397.00,95610.68,68.44,3.15,5.75,11558.60
2019-07-09 00:00:00,1397.50,96217.87,68.85,3.15,5.75,11555.90
2019-07-10 00:00:00,1410.10,96965.52,68.76,3.15,5.75,11498.90
2019-07-11 00:00:00,1404.30,96008.62,68.37,3.15,5.75,11582.90
2019-07-12 00:00:00,1409.90,96817.83,68.67,3.15,5.75,11552.50
2019-07-13 00:00:00,1409.90,96817.83,68.67,3.15,5.75,11552.50
2019-07-14 00:00:00,1409.90,96817.83,68.67,3.15,5.75,11552.50
2019-07-15 00:00:00,1411.40,96751.90,68.55,3.15,5.75,11588.35
2019-07-16 00:00:00,1409.20,96878.97,68.75,3.15,5.75,11662.60
2019-07-17 00:00:00,1421.30,97920.46,68.89,3.15,5.75,11687.50
2019-07-18 00:00:00,1426.10,98095.72,68.79,3.15,5.75,11596.90
2019-07-19 00:00:00,1425.10,98118.13,68.85,3.15,5.75,11419.25
2019-07-20 00:00:00,1425.10,98118.13,68.85,3.15,5.75,11419.25
2019-07-21 00:00:00,1425.10,98118.13,68.85,3.15,5.75,11419.25
2019-07-22 00:00:00,1425.30,98103.40,68.83,3.15,5.75,11346.20
2019-07-23 00:00:00,1420.10,98214.12,69.16,3.15,5.75,11331.05
2019-07-24 00:00:00,1422.80,98201.65,69.02,3.15,5.75,11271.30
2019-07-25 00:00:00,1413.90,97820.67,69.18,3.15,5.75,11252.15
2019-07-26 00:00:00,1418.50,98089.98,69.15,3.15,5.75,11284.30
2019-07-27 00:00:00,1418.50,98089.98,69.15,3.15,5.75,11284.30
2019-07-28 00:00:00,1418.50,98089.98,69.15,3.15,5.75,11284.30
2019-07-29 00:00:00,1419.60,97767.85,68.87,3.15,5.75,11189.20
2019-07-30 00:00:00,1429.70,98577.81,68.95,3.15,5.75,11085.40
2019-07-31 00:00:00,1426.10,98511.42,69.08,3.15,5.75,11118.00
2019-08-01 00:00:00,1420.90,98617.56,69.40,3.28,5.75,10980.00
2019-08-02 00:00:00,1445.60,100176.04,69.30,3.28,5.75,10997.35
2019-08-03 00:00:00,1445.60,100176.04,69.30,3.28,5.75,10997.35
2019-08-04 00:00:00,1445.60,100176.04,69.30,3.28,5.75,10997.35
2019-08-05 00:00:00,1464.60,102019.49,69.66,3.28,5.75,10862.60
2019-08-06 00:00:00,1472.40,105306.04,71.52,3.28,5.75,10948.25
2019-08-07 00:00:00,1507.30,107364.99,71.23,3.28,5.4,10855.50
2019-08-08 00:00:00,1497.70,106583.97,71.17,3.28,5.4,11032.45
2019-08-09 00:00:00,1496.60,105466.75,70.47,3.28,5.4,11109.65
2019-08-10 00:00:00,1496.60,105466.75,70.47,3.28,5.4,11109.65
2019-08-11 00:00:00,1496.60,105466.75,70.47,3.28,5.4,11109.65
2019-08-12 00:00:00,1505.30,106928.99,71.04,3.28,5.4,11109.65
2019-08-13 00:00:00,1502.20,107527.48,71.58,3.28,5.4,10925.85
2019-08-14 00:00:00,1515.90,107750.18,71.08,3.28,5.4,11029.40
2019-08-15 00:00:00,1519.60,108856.85,71.64,3.28,5.4,11029.40
2019-08-16 00:00:00,1512.50,108476.50,71.72,3.28,5.4,11047.80
2019-08-17 00:00:00,1512.50,108476.50,71.72,3.28,5.4,11047.80
2019-08-18 00:00:00,1512.50,108476.50,71.72,3.28,5.4,11047.80
2019-08-19 00:00:00,1500.40,106726.46,71.13,3.28,5.4,11053.90
2019-08-20 00:00:00,1504.60,108323.68,72.00,3.28,5.4,11017.00
2019-08-21 00:00:00,1504.60,108045.32,71.81,3.28,5.4,10918.70
2019-08-22 00:00:00,1497.30,106963.82,71.44,3.28,5.4,10741.35
2019-08-23 00:00:00,1526.60,109793.68,71.92,3.28,5.4,10829.35
2019-08-24 00:00:00,1526.60,109793.68,71.92,3.28,5.4,10829.35
2019-08-25 00:00:00,1526.60,109793.68,71.92,3.28,5.4,10829.35
2019-08-26 00:00:00,1526.30,109134.27,71.50,3.28,5.4,11057.85
2019-08-27 00:00:00,1541.00,111198.57,72.16,3.28,5.4,11105.35
2019-08-28 00:00:00,1537.80,110006.53,71.54,3.28,5.4,11046.10
2019-08-29 00:00:00,1526.50,110037.75,72.08,3.28,5.4,10948.30
2019-08-30 00:00:00,1519.10,108889.39,71.68,3.28,5.4,11023.25
2019-08-31 00:00:00,1519.10,108889.39,71.68,3.28,5.4,11023.25
2019-09-01 00:00:00,1519.10,108889.39,71.68,3.99,5.4,11023.25
2019-09-02 00:00:00,1519.10,108964.88,71.73,3.99,5.4,11023.25
2019-09-03 00:00:00,1545.90,111246.21,71.96,3.99,5.4,10797.90
2019-09-04 00:00:00,1550.30,112334.74,72.46,3.99,5.4,10844.65
2019-09-05 00:00:00,1515.40,109041.68,71.96,3.99,5.4,10847.90
2019-09-06 00:00:00,1506.20,108777.76,72.22,3.99,5.4,10946.20
2019-09-07 00:00:00,1506.20,108777.76,72.22,3.99,5.4,10946.20
2019-09-08 00:00:00,1506.20,108777.76,72.22,3.99,5.4,10946.20
2019-09-09 00:00:00,1502.20,107662.67,71.67,3.99,5.4,11003.05
2019-09-10 00:00:00,1490.30,107439.45,72.09,3.99,5.4,11003.05
2019-09-11 00:00:00,1494.40,107386.09,71.86,3.99,5.4,11035.70
2019-09-12 00:00:00,1498.70,107247.11,71.56,3.99,5.4,10982.80
2019-09-13 00:00:00,1490.90,106278.81,71.29,3.99,5.4,11075.90
2019-09-14 00:00:00,1490.90,106278.81,71.29,3.99,5.4,11075.90
2019-09-15 00:00:00,1490.90,106278.81,71.29,3.99,5.4,11075.90
2019-09-16 00:00:00,1503.10,106751.21,71.02,3.99,5.4,11003.50
